year,sector,destination,shock_pct
2027,MachEquip,EU27,6.4566
2027,Metals,EU27,11.3559
2027,Mining,EU27,16.5003
2027,OthAgFood,EU27,12.2435
2027,OthManuf,EU27,16.6576
2027,TexApp,EU27,8.5803
2027,TradeTran,EU27,-5.7796
2027,Auto,GBR,0.6279
2027,ChemPlast,GBR,10.2287
2027,Coal,GBR,21.5923
2027,GrainCrop,GBR,2.6840
2027,LiveMeat,GBR,16.8908
2027,MachEquip,GBR,6.5932
2027,Metals,GBR,1.0962
2027,Mining,GBR,19.2902
2027,OthAgFood,GBR,10.3217
2027,OthManuf,GBR,11.9685
2027,TexApp,GBR,7.9502
2027,TradeTran,GBR,-5.4272
2027,Auto,ROW,0.3678
2027,ChemPlast,ROW,5.8843
2027,Coal,ROW,22.3125
2027,GrainCrop,ROW,5.2873
2027,LiveMeat,ROW,6.1842
2027,MachEquip,ROW,4.5134
2027,Metals,ROW,5.0278
2027,Mining,ROW,16.9340
2027,OthAgFood,ROW,6.6423
2027,OthManuf,ROW,3.5541
2027,TexApp,ROW,7.6031
2027,TradeTran,ROW,-4.8636
2027,Auto,SACUSADC,0.0062
2027,ChemPlast,SACUSADC,0.2126
2027,Coal,SACUSADC,16.2260
2027,GrainCrop,SACUSADC,0.0969
2027,LiveMeat,SACUSADC,0.0331
2027,MachEquip,SACUSADC,0.1680
2027,Metals,SACUSADC,0.6578
2027,Mining,SACUSADC,10.6905
2027,OthAgFood,SACUSADC,0.2079
2027,OthManuf,SACUSADC,0.0732
2027,TexApp,SACUSADC,0.1426
2027,TradeTran,SACUSADC,-1.1911
2028,Auto,CHN,2.6010
2028,ChemPlast,CHN,8.8711
2028,Coal,CHN,16.1799
2028,GrainCrop,CHN,4.9919
2028,LiveMeat,CHN,4.5019
2028,MachEquip,CHN,0.7965
2028,Metals,CHN,1.1049
2028,Mining,CHN,15.2822
2028,OthAgFood,CHN,12.5478
2028,OthManuf,CHN,5.6065
2028,TexApp,CHN,6.7503
2028,TradeTran,CHN,-7.7712
2028,Auto,EU27,0.4268
2028,ChemPlast,EU27,11.0670
2028,Coal,EU27,22.3334
2028,GrainCrop,EU27,7.4761
2028,LiveMeat,EU27,9.1477
2028,MachEquip,EU27,6.4566
2028,Metals,EU27,11.3559
2028,Mining,EU27,15.7977
2028,OthAgFood,EU27,12.2435
2028,OthManuf,EU27,16.6576
2028,TexApp,EU27,8.5803
2028,TradeTran,EU27,-7.3452
2028,Auto,GBR,0.6279
2028,ChemPlast,GBR,10.2287
2028,Coal,GBR,22.7310
2028,GrainCrop,GBR,2.6840
2028,LiveMeat,GBR,16.8908
2028,MachEquip,GBR,6.5932
2028,Metals,GBR,1.0962
2028,Mining,GBR,18.7492
2028,OthAgFood,GBR,10.3217
2028,OthManuf,GBR,11.9685
2028,TexApp,GBR,7.9502
2028,TradeTran,GBR,-6.8314
2028,Auto,ROW,0.3678
2028,ChemPlast,ROW,5.8843
2028,Coal,ROW,23.0850
2028,GrainCrop,ROW,5.2873
2028,LiveMeat,ROW,6.1842
2028,MachEquip,ROW,4.5134
2028,Metals,ROW,5.0278
2028,Mining,ROW,15.8803
2028,OthAgFood,ROW,6.6423
2028,OthManuf,ROW,3.5541
2028,TexApp,ROW,7.6031
2028,TradeTran,ROW,-6.4079
2028,Auto,SACUSADC,0.0062
2028,ChemPlast,SACUSADC,0.2126
2028,Coal,SACUSADC,16.4038
2028,GrainCrop,SACUSADC,0.0969
2028,LiveMeat,SACUSADC,0.0331
2028,MachEquip,SACUSADC,0.1680
2028,Metals,SACUSADC,0.6578
2028,Mining,SACUSADC,10.6186
2028,OthAgFood,SACUSADC,0.2079
2028,OthManuf,SACUSADC,0.0732
2028,TexApp,SACUSADC,0.1426
2028,TradeTran,SACUSADC,-1.4961
2029,Auto,CHN,2.6010
2029,ChemPlast,CHN,8.8711
2029,Coal,CHN,16.7381
2029,GrainCrop,CHN,4.9919
2029,LiveMeat,CHN,4.5019
2029,MachEquip,CHN,0.7965
2029,Metals,CHN,1.1049
2029,Mining,CHN,14.3649
2029,OthAgFood,CHN,12.5478
2029,OthManuf,CHN,5.6065
2029,TexApp,CHN,6.7503
2029,TradeTran,CHN,-9.8211
2029,Auto,EU27,0.4268
2029,ChemPlast,EU27,11.0670
2029,Coal,EU27,22.6046
2029,GrainCrop,EU27,7.4761
2029,LiveMeat,EU27,9.1477
2029,MachEquip,EU27,6.4566
2029,Metals,EU27,11.3559
2029,Mining,EU27,15.0669
2029,OthAgFood,EU27,12.2435
2029,OthManuf,EU27,16.6576
2029,TexApp,EU27,8.5803
2029,TradeTran,EU27,-9.0242
2029,Auto,GBR,0.6279
2029,ChemPlast,GBR,10.2287
2029,Coal,GBR,22.9922
2029,GrainCrop,GBR,2.6840
2029,LiveMeat,GBR,16.8908
2029,MachEquip,GBR,6.5932
2029,Metals,GBR,1.0962
2029,Mining,GBR,18.0384
2029,OthAgFood,GBR,10.3217
2029,OthManuf,GBR,11.9685
2029,TexApp,GBR,7.9502
2029,TradeTran,GBR,-8.3975
2029,Auto,ROW,0.3678
2029,ChemPlast,ROW,5.8843
2029,Coal,ROW,22.9647
2029,GrainCrop,ROW,5.2873
2029,LiveMeat,ROW,6.1842
2029,MachEquip,ROW,4.5134
2029,Metals,ROW,5.0278
2029,Mining,ROW,14.7792
2029,OthAgFood,ROW,6.6423
2029,OthManuf,ROW,3.5541
2029,TexApp,ROW,7.6031
2029,TradeTran,ROW,-8.0789
2029,Auto,SACUSADC,0.0062
2029,ChemPlast,SACUSADC,0.2126
2029,Coal,SACUSADC,15.9289
2029,GrainCrop,SACUSADC,0.0969
2029,LiveMeat,SACUSADC,0.0331
2029,MachEquip,SACUSADC,0.1680
2029,Metals,SACUSADC,0.6578
2029,Mining,SACUSADC,10.6302
2029,OthAgFood,SACUSADC,0.2079
2029,OthManuf,SACUSADC,0.0732
2029,TexApp,SACUSADC,0.1426
2029,TradeTran,SACUSADC,-1.8514
2030,Auto,CHN,2.6010
2030,ChemPlast,CHN,8.8711
2030,Coal,CHN,16.3956
2030,GrainCrop,CHN,4.9919
2030,LiveMeat,CHN,4.5019
2030,MachEquip,CHN,0.7965
2030,Metals,CHN,1.1049
2030,Mining,CHN,13.3973
2030,OthAgFood,CHN,12.5478
2030,OthManuf,CHN,5.6065
2030,TexApp,CHN,6.7503
2030,TradeTran,CHN,-11.6640
2030,Auto,EU27,0.4268
2030,ChemPlast,EU27,11.0670
2030,Coal,EU27,21.9418
2030,GrainCrop,EU27,7.4761
2030,LiveMeat,EU27,9.1477
2030,MachEquip,EU27,6.4566
2030,Metals,EU27,11.3559
2030,Mining,EU27,14.2319
2030,OthAgFood,EU27,12.2435
2030,OthManuf,EU27,16.6576
2030,TexApp,EU27,8.5803
2030,TradeTran,EU27,-10.5495
2030,Auto,GBR,0.6279
2030,ChemPlast,GBR,10.2287
2030,Coal,GBR,22.3359
2030,GrainCrop,GBR,2.6840
2030,LiveMeat,GBR,16.8908
2030,MachEquip,GBR,6.5932
2030,Metals,GBR,1.0962
2030,Mining,GBR,17.1272
2030,OthAgFood,GBR,10.3217
2030,OthManuf,GBR,11.9685
2030,TexApp,GBR,7.9502
2030,TradeTran,GBR,-9.8469
2030,Auto,ROW,0.3678
2030,ChemPlast,ROW,5.8843
2030,Coal,ROW,21.8979
2030,GrainCrop,ROW,5.2873
2030,LiveMeat,ROW,6.1842
2030,MachEquip,ROW,4.5134
2030,Metals,ROW,5.0278
2030,Mining,ROW,13.6093
2030,OthAgFood,ROW,6.6423
2030,OthManuf,ROW,3.5541
2030,TexApp,ROW,7.6031
2030,TradeTran,ROW,-9.5929
2030,Auto,SACUSADC,0.0062
2030,ChemPlast,SACUSADC,0.2126
2030,Coal,SACUSADC,14.9427
2030,GrainCrop,SACUSADC,0.0969
2030,LiveMeat,SACUSADC,0.0331
2030,MachEquip,SACUSADC,0.1680
2030,Metals,SACUSADC,0.6578
2030,Mining,SACUSADC,10.6016
2030,OthAgFood,SACUSADC,0.2079
2030,OthManuf,SACUSADC,0.0732
2030,TexApp,SACUSADC,0.1426
2030,TradeTran,SACUSADC,-2.1676
